,accuracy,precision,recall,f1,auc,confusion_matrix
0,0.85,0.8535353535353536,0.8500000000000001,0.849624060150376,0.9261111111111111,"[[54, 6], [12, 48]]"
1,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9876388888888888,"[[58, 2], [2, 58]]"
2,0.725,0.7281047592227542,0.725,0.7240610410424361,0.8372222222222222,"[[40, 20], [13, 47]]"
3,0.6583333333333333,0.6688888888888889,0.6583333333333333,0.6529100529100529,0.7236111111111112,"[[47, 13], [28, 32]]"
4,0.825,0.8533675626698882,0.825,0.8214159166607611,0.8813888888888889,"[[41, 19], [2, 58]]"
5,0.7333333333333333,0.7335928809788654,0.7333333333333334,0.7332592386774104,0.8120833333333333,"[[45, 15], [17, 43]]"
6,0.7583333333333333,0.7642796248934356,0.7583333333333333,0.7569662685941756,0.903888888888889,"[[50, 10], [19, 41]]"
7,0.6333333333333333,0.6410105757931845,0.6333333333333333,0.6282737257110673,0.7519444444444444,"[[31, 29], [15, 45]]"
8,0.6916666666666667,0.6930069930069931,0.6916666666666667,0.6911304347826086,0.7174999999999999,"[[39, 21], [16, 44]]"
9,0.7583333333333333,0.7584051125312586,0.7583333333333333,0.7583165497604001,0.8427777777777778,"[[45, 15], [14, 46]]"
